Open Time,Open Time,Open Price,High Price,Low Price,Close Price,Volume,Close Time,Quote Asset Volume,Number Of Trades,Taker Buy Base,Taker Buy Quote,Unused
2023-07-18 21:00:00,2023-07-18 21:00:00,29777.99,29834.28,29754.46,29800.86,477.66118,1689717599999,14233852.8531966,17576,226.77935,6757697.212349,0
2023-07-18 22:00:00,2023-07-18 22:00:00,29800.86,29825.87,29758.85,29819.68,492.33684,1689721199999,14668499.7762917,16854,238.74527,7113230.9757154,0
2023-07-18 23:00:00,2023-07-18 23:00:00,29819.68,29865.0,29788.0,29859.13,580.50846,1689724799999,17312485.4873681,19110,273.08158,8144449.2736274,0
2023-07-19 00:00:00,2023-07-19 00:00:00,29859.14,30071.12,29839.5,30055.32,1511.54543,1689728399999,45300574.9432588,37617,895.39349,26830685.5224029,0
2023-07-19 01:00:00,2023-07-19 01:00:00,30055.31,30071.01,29950.7,30006.01,828.93009,1689731999999,24868943.9644009,23192,371.37247,11141984.6443313,0
2023-07-19 02:00:00,2023-07-19 02:00:00,30006.0,30029.0,29971.41,30024.0,594.08494,1689735599999,17824978.0393871,15339,309.33953,9282140.5569293,0
2023-07-19 03:00:00,2023-07-19 03:00:00,30023.99,30076.71,30008.0,30059.11,942.39611,1689739199999,28318759.5381071,21302,497.14871,14937559.9765043,0
2023-07-19 04:00:00,2023-07-19 04:00:00,30059.1,30189.09,30056.0,30099.08,1450.927,1689742799999,43719297.8518516,30456,762.97329,22991345.7231571,0
2023-07-19 05:00:00,2023-07-19 05:00:00,30099.08,30119.98,30055.05,30098.39,891.77645,1689746399999,26835293.3945325,18578,343.45696,10335337.8738136,0
2023-07-19 06:00:00,2023-07-19 06:00:00,30098.39,30114.0,30000.0,30044.59,1137.21719,1689749999999,34178219.591982,23289,469.70679,14115835.9867929,0
2023-07-19 07:00:00,2023-07-19 07:00:00,30044.58,30073.52,29966.48,30000.68,801.73838,1689753599999,24067893.7555395,20916,306.8563,9211805.6780221,0
2023-07-19 08:00:00,2023-07-19 08:00:00,30000.68,30014.86,29876.5,29923.28,1141.83394,1689757199999,34215571.4480088,27622,447.57802,13410505.3103988,0
2023-07-19 09:00:00,2023-07-19 09:00:00,29923.28,30046.0,29867.17,30006.3,1022.9593,1689760799999,30651472.0988746,21864,520.50614,15595996.1012515,0
2023-07-19 10:00:00,2023-07-19 10:00:00,30006.29,30034.0,29976.46,29988.0,558.6381,1689764399999,16759101.9852049,14449,207.55777,6226988.7388169,0
2023-07-19 11:00:00,2023-07-19 11:00:00,29987.99,30029.65,29958.86,30012.63,816.46142,1689767999999,24489100.2972511,15703,379.45576,11380941.4763377,0
2023-07-19 12:00:00,2023-07-19 12:00:00,30012.62,30021.02,29885.38,29950.01,805.44713,1689771599999,24120899.3270615,22161,350.27262,10489563.3872654,0
2023-07-19 13:00:00,2023-07-19 13:00:00,29950.0,30128.0,29827.39,29994.3,1963.64187,1689775199999,58871354.4122949,44208,1003.37623,30088725.9297354,0
2023-07-19 14:00:00,2023-07-19 14:00:00,29994.31,30056.69,29787.9,29824.01,2000.5607,1689778799999,59775399.5309196,47385,905.92008,27067764.5446351,0
2023-07-19 15:00:00,2023-07-19 15:00:00,29824.0,29995.16,29761.96,29956.46,1626.0029,1689782399999,48603897.7894755,35692,858.02209,25655165.9305331,0
2023-07-19 16:00:00,2023-07-19 16:00:00,29956.46,29979.0,29870.0,29903.9,888.79232,1689785999999,26589993.8104738,23474,373.85989,11186085.4739312,0
2023-07-19 17:00:00,2023-07-19 17:00:00,29903.9,30085.8,29881.26,29993.18,1285.76377,1689789599999,38562496.2643094,35869,732.11894,21957549.9177744,0
2023-07-19 18:00:00,2023-07-19 18:00:00,29993.19,30092.42,29944.0,30078.0,1210.92812,1689793199999,36342501.0707076,31946,609.79611,18303596.7208007,0
2023-07-19 19:00:00,2023-07-19 19:00:00,30078.0,30100.0,30019.84,30044.31,984.43216,1689796799999,29591264.5212595,23390,504.41059,15161929.1499149,0
2023-07-19 20:00:00,2023-07-19 20:00:00,30044.31,30054.0,29949.89,29964.95,790.27203,1689800399999,23714160.1542532,20549,354.65838,10641393.0592037,0
2023-07-19 21:00:00,2023-07-19 21:00:00,29964.94,29964.95,29851.1,29933.96,1008.0941,1689803999999,30154706.7024983,26526,433.94771,12980193.4726762,0
2023-07-19 22:00:00,2023-07-19 22:00:00,29933.96,29957.47,29850.07,29872.8,648.30695,1689807599999,19383513.4518356,17616,272.02147,8133409.7460943,0
2023-07-19 23:00:00,2023-07-19 23:00:00,29872.81,29940.0,29830.36,29909.21,746.61097,1689811199999,22315471.3416273,18272,351.23387,10497712.9961127,0
2023-07-20 00:00:00,2023-07-20 00:00:00,29909.21,30012.0,29881.29,30000.0,651.88484,1689814799999,19523202.9073692,19892,339.81812,10179295.373103,0
2023-07-20 01:00:00,2023-07-20 01:00:00,29999.99,30027.99,29970.05,29987.33,562.25731,1689818399999,16868291.2213043,14362,223.23396,6696844.7488186,0
2023-07-20 02:00:00,2023-07-20 02:00:00,29987.34,30047.95,29974.67,29985.53,661.6582,1689821999999,19856847.3735914,17009,269.75059,8095369.7120391,0
2023-07-20 03:00:00,2023-07-20 03:00:00,29985.54,29993.71,29914.45,29948.01,569.05266,1689825599999,17042727.1861393,13905,228.36242,6838611.1307347,0
2023-07-20 04:00:00,2023-07-20 04:00:00,29948.0,29984.39,29926.88,29962.01,581.23549,1689829199999,17411681.534326,12781,228.02885,6831258.5041528,0
2023-07-20 05:00:00,2023-07-20 05:00:00,29962.01,30176.96,29954.06,30125.99,1612.77334,1689832799999,48529265.7055442,32400,914.01207,27500576.8494981,0
2023-07-20 06:00:00,2023-07-20 06:00:00,30125.98,30197.36,30086.22,30120.0,1232.13677,1689836399999,37135724.5107328,25777,558.01387,16820392.6368393,0
2023-07-20 07:00:00,2023-07-20 07:00:00,30119.99,30246.98,30102.01,30202.77,1697.05739,1689839999999,51225319.1485384,31324,909.6182,27458141.7017878,0
2023-07-20 08:00:00,2023-07-20 08:00:00,30202.78,30320.0,30166.67,30264.55,1708.17742,1689843599999,51657377.8185442,35308,983.27109,29739004.3946153,0
2023-07-20 09:00:00,2023-07-20 09:00:00,30264.56,30389.92,30215.05,30327.99,2289.82917,1689847199999,69421121.2084748,45186,1162.30829,35239295.3508218,0
2023-07-20 10:00:00,2023-07-20 10:00:00,30327.99,30417.46,30272.9,30295.0,2151.25276,1689850799999,65307390.3103352,40472,1059.09084,32154663.6625985,0
2023-07-20 11:00:00,2023-07-20 11:00:00,30295.0,30311.79,30251.09,30284.9,1459.52763,1689854399999,44195495.8146894,27432,635.3721,19238986.8913451,0
2023-07-20 12:00:00,2023-07-20 12:00:00,30284.9,30316.0,30208.04,30221.53,1129.51077,1689857999999,34176361.9312456,29406,475.09262,14374342.1845149,0
2023-07-20 13:00:00,2023-07-20 13:00:00,30221.52,30283.22,30171.71,30229.58,1587.03137,1689861599999,47985265.1626829,33975,722.87739,21855527.5122972,0
2023-07-20 14:00:00,2023-07-20 14:00:00,30229.57,30243.93,29627.04,29782.19,6803.86374,1689865199999,203396848.6214493,116497,3065.16869,91587628.9400926,0
2023-07-20 15:00:00,2023-07-20 15:00:00,29782.2,29853.16,29711.11,29810.18,2472.94476,1689868799999,73704114.7650276,50731,1215.85301,36235356.5289129,0
2023-07-20 16:00:00,2023-07-20 16:00:00,29810.17,29872.71,29658.02,29716.69,1970.22685,1689872399999,58639767.5288866,38910,964.50414,28710678.6019462,0
2023-07-20 17:00:00,2023-07-20 17:00:00,29716.69,29820.0,29694.38,29756.73,1137.21598,1689875999999,33828571.1350506,26531,601.2099,17884517.5020368,0
2023-07-20 18:00:00,2023-07-20 18:00:00,29756.72,29795.52,29570.96,29687.84,2644.23439,1689879599999,78516050.1303952,42529,1210.65213,35960133.4594745,0
2023-07-20 19:00:00,2023-07-20 19:00:00,29687.84,29762.31,29675.01,29756.0,987.17978,1689883199999,29338377.0010038,22312,480.49722,14279755.8333404,0
2023-07-20 20:00:00,2023-07-20 20:00:00,29756.0,29769.75,29669.56,29739.72,791.2408,1689886799999,23508526.4819658,19972,349.0648,10370271.2388913,0
2023-07-20 21:00:00,2023-07-20 21:00:00,29739.73,29888.0,29736.0,29870.28,926.78751,1689890399999,27630738.0173811,23154,521.83307,15557040.402099,0
2023-07-20 22:00:00,2023-07-20 22:00:00,29870.27,29878.48,29798.39,29814.0,648.81625,1689893999999,19354703.8279392,15756,324.48589,9679127.03334,0
2023-07-20 23:00:00,2023-07-20 23:00:00,29814.0,29822.0,29789.65,29800.0,1264.78675,1689897599999,37696874.3690326,14102,619.21567,18455585.3271979,0
2023-07-21 00:00:00,2023-07-21 00:00:00,29800.0,29835.0,29726.34,29786.01,1322.60947,1689901199999,39402411.2520817,23118,679.21305,20236514.813027,0
2023-07-21 01:00:00,2023-07-21 01:00:00,29786.01,29899.0,29760.0,29877.48,1084.58834,1689904799999,32367746.5527369,21805,543.55132,16222627.5782913,0
2023-07-21 02:00:00,2023-07-21 02:00:00,29877.49,29953.01,29846.0,29903.19,1286.3719,1689908399999,38447458.4644741,22699,663.92368,19843615.2070241,0
2023-07-21 03:00:00,2023-07-21 03:00:00,29903.2,29942.0,29877.02,29897.62,528.37781,1689911999999,15805352.1558791,14084,237.73343,7110845.2300915,0
2023-07-21 04:00:00,2023-07-21 04:00:00,29897.62,29904.0,29859.15,29864.0,791.82233,1689915599999,23660463.5310521,14901,233.50201,6976710.118094,0
2023-07-21 05:00:00,2023-07-21 05:00:00,29864.0,29865.82,29790.0,29817.99,764.67534,1689919199999,22810087.1201305,16818,273.79269,8165504.613284,0
2023-07-21 06:00:00,2023-07-21 06:00:00,29817.99,29856.48,29793.89,29856.48,499.43667,1689922799999,14899119.3100454,14504,252.30127,7526615.5289579,0
2023-07-21 07:00:00,2023-07-21 07:00:00,29856.47,29859.53,29751.9,29766.81,1287.97532,1689926399999,38376185.9961644,25790,658.43272,19615076.4829722,0
2023-07-21 08:00:00,2023-07-21 08:00:00,29766.81,29816.78,29756.17,29786.29,795.64478,1689929999999,23700778.3682977,20150,299.58315,8923973.9629397,0
2023-07-21 09:00:00,2023-07-21 09:00:00,29786.3,29851.37,29750.0,29755.99,799.28188,1689933599999,23821660.9874375,25123,390.87965,11650495.1375539,0
2023-07-21 10:00:00,2023-07-21 10:00:00,29755.99,29818.96,29755.99,29793.36,687.19109,1689937199999,20476065.7566722,20368,321.11532,9567625.0943639,0
2023-07-21 11:00:00,2023-07-21 11:00:00,29793.37,29815.0,29729.76,29778.51,955.00122,1689940799999,28431060.8933201,22921,398.76053,11870790.9493853,0
2023-07-21 12:00:00,2023-07-21 12:00:00,29778.51,29898.5,29778.5,29869.91,1260.66302,1689944399999,37632521.7000302,27801,809.95085,24179517.8263382,0
2023-07-21 13:00:00,2023-07-21 13:00:00,29869.9,29913.94,29784.39,29813.99,1393.00242,1689947999999,41593576.6627888,37206,662.62243,19787801.914472,0
2023-07-21 14:00:00,2023-07-21 14:00:00,29814.0,29882.23,29780.09,29881.07,1163.77751,1689951599999,34715915.762393,30026,556.90621,16612835.1454213,0
2023-07-21 15:00:00,2023-07-21 15:00:00,29881.07,29909.08,29854.74,29866.0,851.50445,1689955199999,25439517.5773163,22259,423.05792,12639076.0226245,0
2023-07-21 16:00:00,2023-07-21 16:00:00,29866.0,29870.0,29812.2,29828.0,702.69989,1689958799999,20963981.0123002,20641,318.196,9492241.6885854,0
2023-07-21 17:00:00,2023-07-21 17:00:00,29828.0,29938.0,29823.99,29921.99,1134.69256,1689962399999,33908045.8456656,24371,626.69766,18725926.1638297,0
2023-07-21 18:00:00,2023-07-21 18:00:00,29922.0,30061.7,29921.99,29981.69,2119.60608,1689965999999,63590021.1942418,43417,1176.60342,35297957.5228453,0
2023-07-21 19:00:00,2023-07-21 19:00:00,29981.7,29981.7,29770.0,29875.99,1640.68923,1689969599999,48996605.2884725,39388,708.6294,21158522.6031794,0
2023-07-21 20:00:00,2023-07-21 20:00:00,29875.99,29892.9,29833.93,29880.0,644.78479,1689973199999,19256992.9147869,18896,286.59015,8558691.3888344,0
2023-07-21 21:00:00,2023-07-21 21:00:00,29880.01,29941.06,29878.69,29899.57,543.7152,1689976799999,16258291.5333968,17109,285.77082,8544519.4128009,0
2023-07-21 22:00:00,2023-07-21 22:00:00,29899.57,29955.0,29887.16,29925.06,499.50565,1689980399999,14948750.5486442,15625,227.32347,6802147.3163153,0
2023-07-21 23:00:00,2023-07-21 23:00:00,29925.07,29933.0,29891.86,29901.72,1123.7917,1689983999999,33620807.3328859,16591,531.25125,15894460.9246771,0
2023-07-22 00:00:00,2023-07-22 00:00:00,29901.72,29999.0,29901.71,29983.79,464.18017,1689987599999,13900050.6336364,17584,281.75081,8437170.5791274,0
2023-07-22 01:00:00,2023-07-22 01:00:00,29983.8,29987.45,29916.41,29924.01,479.21604,1689991199999,14349682.6432432,15119,204.20995,6114458.0792137,0
2023-07-22 02:00:00,2023-07-22 02:00:00,29924.0,29967.24,29918.2,29935.48,550.9023,1689994799999,16495670.4484462,15468,204.42047,6120396.2912662,0
2023-07-22 03:00:00,2023-07-22 03:00:00,29935.47,29937.98,29896.0,29903.41,1236.61433,1689998399999,36991137.139998,19880,658.8784,19709925.7624113,0
